District Name,Primary Level,Lower secondary,Secondary,Higher secondary
Taplejung,1646,443,232,118
Sankhuwasabha,1740,468,294,120
Solukhumbu,1159,234,164,44
Panchthar,2264,579,341,114
Ilam,2383,698,401,213
Dhankuta,1451,412,296,102
Terhathum,1141,297,186,140
Bhojpur,1726,386,256,104
Okhaldhunga,1540,411,255,66
Khotang,1947,516,300,209
Udayapur,2171,529,288,202
Jhapa,5973,2079,1715,424
Morang,3575,917,641,242
Sunsari,3278,890,664,288
Saptari,2026,486,335,126
Siraha,2142,345,310,155
Dolakha,2118,486,358,204
Sindhupalchok,2421,615,424,247
Rasuwa,496,108,75,23
Sindhuli,2625,633,402,178
Ramechhap,2010,578,327,103
Kavrepalanchok,4311,1469,1356,444
Nuwakot,1892,423,284,214
Dhading,3186,726,469,266
Makwanpur,3441,777,574,287
Dhanusha,1898,342,349,261
Mahottari,1879,310,277,335
Sarlahi,2133,426,264,241
Rautahat,1842,280,265,144
Bara,2276,374,243,332
Parsa,2097,386,274,525
Chitwan,3911,1529,1048,257
Lalitpur,3274,1633,1424,779
Bhaktapur,2749,1175,1217,583
Kathmandu,8522,5275,4221,809
Manang,144,41,22,16
Mustang,359,65,56,26
Gorkha,2476,619,390,284
Lamjung,2294,509,357,184
Tanahu,3053,861,659,283
Syangja,3481,1055,782,665
Kaski,4427,1524,1525,1121
Myagdi,1110,285,175,47
Parbat,1848,496,358,209
Baglung,2955,659,473,168
Gulmi,3016,700,522,372
Palpa,3055,832,536,300
Arghakhanchi,1875,346,314,158
Nawalparasi,4089,1119,750,544
Rupandehi,5225,1899,1656,301
Kapilbastu,2947,544,482,280
Dolpa,487,74,74,88
Jumla,803,162,124,34
Kalikot,1450,278,157,264
Mugu,507,110,65,19
Humla,448,115,59,14
Pyuthan,1779,365,237,53
Rolpa,1677,405,166,21
Rukum,1130,290,176,18
Salyan,1477,203,153,74
Surkhet,2330,650,329,160
Dailekh,1789,313,225,85
Jajarkot,1265,271,119,16
Dang,3206,811,598,327
Banke,2564,699,582,181
Bardiya,2225,590,325,229
Bajura,1592,384,183,153
Bajhang,2300,498,306,126
Darchula,1346,403,208,96
Achham,2444,525,326,98
Doti,1783,467,261,530
Dadeldhura,1366,418,277,90
Baitadi,2150,597,333,144
Kailali,3848,825,443,382
Kanchanpur,2151,606,363,386
Total,"173,714",48848,35675,17445